"","sku","prod_cat","salesdate","price","min_price","max_price","cost","volume","pred_vol","profit","est_profit"
"1","File Folders SKU 47","File Folders",2023-04-01,27.89,18.99,29.99,159,9,8,92,64.12
"2","File Folders SKU 47","File Folders",2023-04-02,27.89,18.99,29.99,123,7,6,72,44.34
"3","File Folders SKU 47","File Folders",2023-04-03,27.89,18.99,29.99,353,20,18,205,149.02
"4","File Folders SKU 47","File Folders",2023-04-04,27.59,18.99,29.99,422,24,22,240,184.98
"5","File Folders SKU 47","File Folders",2023-04-05,27.89,18.99,29.99,229,13,11,134,77.79
"6","File Folders SKU 47","File Folders",2023-04-06,27.89,18.99,29.99,229,13,11,134,77.79
"7","File Folders SKU 47","File Folders",2023-04-07,27.49,18.99,29.99,193,11,10,109,81.9
"8","File Folders SKU 47","File Folders",2023-04-08,27.99,18.99,29.99,71,4,3,41,12.97
"9","File Folders SKU 47","File Folders",2023-04-09,27.99,18.99,29.99,54,3,2,30,1.98
"10","File Folders SKU 47","File Folders",2023-04-10,27.89,18.99,29.99,299,17,15,175,119.35
"11","File Folders SKU 47","File Folders",2023-04-11,27.89,18.99,29.99,265,15,13,153,97.57
"12","File Folders SKU 47","File Folders",2023-04-12,27.89,18.99,29.99,317,18,16,185,129.24
"13","File Folders SKU 47","File Folders",2023-04-13,27.99,18.99,29.99,212,12,10,124,67.9
"14","File Folders SKU 47","File Folders",2023-04-14,27.69,18.99,29.99,299,17,15,172,116.35
"15","File Folders SKU 47","File Folders",2023-04-15,27.89,18.99,29.99,177,10,9,102,74.01
"16","File Folders SKU 47","File Folders",2023-04-16,27.99,18.99,29.99,123,7,6,73,44.94
"17","File Folders SKU 47","File Folders",2023-04-17,27.89,18.99,29.99,265,15,13,153,97.57
"18","File Folders SKU 47","File Folders",2023-04-18,27.69,18.99,29.99,212,12,10,120,64.9
"19","File Folders SKU 47","File Folders",2023-04-19,27.79,18.99,29.99,283,16,14,162,106.06
"20","File Folders SKU 47","File Folders",2023-04-20,27.89,18.99,29.99,123,7,6,72,44.34
"21","File Folders SKU 47","File Folders",2023-04-21,27.99,18.99,29.99,105,6,5,63,34.95
"22","File Folders SKU 47","File Folders",2023-04-22,26.79,18.99,29.99,88,5,4,46,19.16
"23","File Folders SKU 47","File Folders",2023-04-23,27.89,18.99,29.99,123,7,6,72,44.34
"24","File Folders SKU 47","File Folders",2023-04-24,27.79,18.99,29.99,177,10,9,101,73.11
"25","File Folders SKU 47","File Folders",2023-04-25,27.99,18.99,29.99,265,15,13,155,98.87
"26","File Folders SKU 47","File Folders",2023-04-26,27.89,18.99,29.99,194,11,9,113,57.01
"27","File Folders SKU 47","File Folders",2023-04-27,27.99,18.99,29.99,230,13,11,134,77.89
"28","File Folders SKU 47","File Folders",2023-04-28,25.29,18.99,29.99,224,13,11,105,54.19
"29","File Folders SKU 47","File Folders",2023-04-29,23.89,18.99,29.99,119,7,5,48,0.450000000000003
"30","File Folders SKU 47","File Folders",2023-04-30,27.99,18.99,29.99,54,3,2,30,1.98
"31","File Folders SKU 47","File Folders",2023-05-01,27.89,18.99,29.99,159,9,8,92,64.12
"32","File Folders SKU 47","File Folders",2023-05-02,27.89,18.99,29.99,177,10,8,102,46.12
"33","File Folders SKU 47","File Folders",2023-05-03,27.89,18.99,29.99,265,15,13,153,97.57
"34","File Folders SKU 47","File Folders",2023-05-04,27.89,18.99,29.99,123,7,6,72,44.34
"35","File Folders SKU 47","File Folders",2023-05-05,27.19,18.99,29.99,193,11,9,106,51.71
"36","File Folders SKU 47","File Folders",2023-05-06,27.99,18.99,29.99,35,2,1,21,-7.01
"37","File Folders SKU 47","File Folders",2023-05-07,27.99,18.99,29.99,159,9,7,93,36.93
"38","File Folders SKU 47","File Folders",2023-05-08,27.69,18.99,29.99,212,12,10,120,64.9
"39","File Folders SKU 47","File Folders",2023-05-09,27.19,18.99,29.99,158,9,7,87,32.33
"40","File Folders SKU 47","File Folders",2023-05-10,27.89,18.99,29.99,229,13,11,134,77.79
"41","File Folders SKU 47","File Folders",2023-05-11,27.99,18.99,29.99,71,4,3,41,12.97
"42","File Folders SKU 47","File Folders",2023-05-12,27.89,18.99,29.99,140,8,7,83,55.23
"43","File Folders SKU 47","File Folders",2023-05-13,27.99,18.99,29.99,54,3,2,30,1.98
"44","File Folders SKU 47","File Folders",2023-05-14,27.99,18.99,29.99,71,4,3,41,12.97
"45","File Folders SKU 47","File Folders",2023-05-15,27.99,18.99,29.99,123,7,6,73,44.94
"46","File Folders SKU 47","File Folders",2023-05-16,27.89,18.99,29.99,123,7,5,72,16.45
"47","File Folders SKU 47","File Folders",2023-05-17,27.89,18.99,29.99,247,14,12,143,87.68
"48","File Folders SKU 47","File Folders",2023-05-18,27.29,18.99,29.99,140,8,6,78,23.74
"49","File Folders SKU 47","File Folders",2023-05-19,27.99,18.99,29.99,105,6,5,63,34.95
"50","File Folders SKU 47","File Folders",2023-05-20,27.99,18.99,29.99,35,2,1,21,-7.01
"51","File Folders SKU 47","File Folders",2023-05-21,27.89,18.99,29.99,123,7,5,72,16.45
"52","File Folders SKU 47","File Folders",2023-05-22,27.89,18.99,29.99,159,9,7,92,36.23
"53","File Folders SKU 47","File Folders",2023-05-23,27.79,18.99,29.99,229,13,11,132,76.69
"54","File Folders SKU 47","File Folders",2023-05-24,27.69,18.99,29.99,177,10,8,100,44.52
"55","File Folders SKU 47","File Folders",2023-05-25,27.69,18.99,29.99,212,12,10,120,64.9
"56","File Folders SKU 47","File Folders",2023-05-26,27.89,18.99,29.99,159,9,8,92,64.12
"57","File Folders SKU 47","File Folders",2023-05-27,27.99,18.99,29.99,54,3,2,30,1.98
"58","File Folders SKU 47","File Folders",2023-05-28,27.99,18.99,29.99,35,2,1,21,-7.01
"59","File Folders SKU 47","File Folders",2023-05-29,27.99,18.99,29.99,35,2,1,21,-7.01
"60","File Folders SKU 47","File Folders",2023-05-30,27.89,18.99,29.99,317,18,16,185,129.24
"61","File Folders SKU 47","File Folders",2023-05-31,27.59,18.99,29.99,140,8,6,81,25.54
"62","File Folders SKU 47","File Folders",2023-06-01,27.39,18.99,29.99,282,16,14,156,101.46
"63","File Folders SKU 47","File Folders",2023-06-02,27.89,18.99,29.99,140,8,6,83,27.34
"64","File Folders SKU 47","File Folders",2023-06-03,27.99,18.99,29.99,89,5,4,51,22.96
"65","File Folders SKU 47","File Folders",2023-06-04,27.99,18.99,29.99,35,2,1,21,-7.01
"66","File Folders SKU 47","File Folders",2023-06-05,27.69,18.99,29.99,71,4,3,40,12.07
"67","File Folders SKU 47","File Folders",2023-06-06,27.89,18.99,29.99,105,6,4,62,6.56
"68","File Folders SKU 47","File Folders",2023-06-07,27.89,18.99,29.99,247,14,12,143,87.68
"69","File Folders SKU 47","File Folders",2023-06-08,27.89,18.99,29.99,194,11,9,113,57.01
"70","File Folders SKU 47","File Folders",2023-06-09,22.09,18.99,29.99,17,1,0,5,-17
"71","File Folders SKU 47","File Folders",2023-06-10,27.99,18.99,29.99,35,2,1,21,-7.01
"72","File Folders SKU 47","File Folders",2023-06-11,0,18.99,29.99,0,0,-1,0,0
"73","File Folders SKU 47","File Folders",2023-06-12,27.79,18.99,29.99,71,4,3,40,12.37
"74","File Folders SKU 47","File Folders",2023-06-13,27.89,18.99,29.99,105,6,4,62,6.56
"75","File Folders SKU 47","File Folders",2023-06-14,0,18.99,29.99,0,0,-1,0,0
"76","File Folders SKU 47","File Folders",2023-06-15,27.69,18.99,29.99,35,2,1,20,-7.31
"77","File Folders SKU 47","File Folders",2023-06-16,22.09,18.99,29.99,34,2,1,10,-11.91
"78","File Folders SKU 47","File Folders",2023-06-17,22.09,18.99,29.99,17,1,0,5,-17
"79","File Folders SKU 47","File Folders",2023-06-18,0,18.99,29.99,0,0,-1,0,0
"80","File Folders SKU 47","File Folders",2023-06-19,23.39,18.99,29.99,34,2,1,13,-10.61
"81","File Folders SKU 47","File Folders",2023-06-20,0,18.99,29.99,0,0,-1,0,0
"82","File Folders SKU 47","File Folders",2023-06-21,23.49,18.99,29.99,68,4,2,26,-21.02
"83","File Folders SKU 47","File Folders",2023-06-22,25.19,18.99,29.99,18,1,0,7,-18
"84","File Folders SKU 47","File Folders",2023-06-23,0,18.99,29.99,0,0,-1,0,0
"85","File Folders SKU 47","File Folders",2023-06-24,25.19,18.99,29.99,18,1,0,7,-18
"86","File Folders SKU 47","File Folders",2023-06-25,0,18.99,29.99,0,0,-1,0,0
"87","File Folders SKU 47","File Folders",2023-06-26,25.19,18.99,29.99,18,1,0,7,-18
"88","File Folders SKU 47","File Folders",2023-06-27,25.19,18.99,29.99,18,1,-1,7,-43.19
"89","File Folders SKU 47","File Folders",2023-06-28,27.99,18.99,29.99,18,1,-1,10,-45.99
"90","File Folders SKU 47","File Folders",2023-06-29,23.79,18.99,29.99,18,1,0,6,-18
"91","File Folders SKU 47","File Folders",2023-06-30,0,18.99,29.99,0,0,-1,0,0
"92","File Folders SKU 47","File Folders",2023-07-01,0,18.99,29.99,0,0,-1,0,0
"93","File Folders SKU 47","File Folders",2023-07-02,0,18.99,29.99,0,0,-1,0,0
"94","File Folders SKU 47","File Folders",2023-07-03,0,18.99,29.99,0,0,-1,0,0
"95","File Folders SKU 47","File Folders",2023-07-04,0,18.99,29.99,0,0,-1,0,0
"96","File Folders SKU 47","File Folders",2023-07-05,27.69,18.99,29.99,35,2,0,20,-35
"97","File Folders SKU 47","File Folders",2023-07-06,27.79,18.99,29.99,123,7,5,72,15.95
"98","File Folders SKU 47","File Folders",2023-07-07,27.59,18.99,29.99,105,6,4,61,5.36
"99","File Folders SKU 47","File Folders",2023-07-08,27.39,18.99,29.99,18,1,-1,9,-45.39
"100","File Folders SKU 47","File Folders",2023-07-08,27.39,18.99,29.99,18,1,-1,9,-45.39
"101","File Folders SKU 47","File Folders",2023-07-09,27.99,18.99,29.99,18,1,-1,10,-45.99
"102","File Folders SKU 47","File Folders",2023-07-10,27.09,18.99,29.99,104,6,4,59,4.36
"103","File Folders SKU 47","File Folders",2023-07-11,27.79,18.99,29.99,123,7,5,72,15.95
"104","File Folders SKU 47","File Folders",2023-07-12,27.59,18.99,29.99,212,12,10,119,63.9
"105","File Folders SKU 47","File Folders",2023-07-13,27.69,18.99,29.99,177,10,8,100,44.52
"106","File Folders SKU 47","File Folders",2023-07-14,27.39,18.99,29.99,53,3,2,29,1.78
"107","File Folders SKU 47","File Folders",2023-07-15,27.79,18.99,29.99,71,4,2,40,-15.42
"108","File Folders SKU 47","File Folders",2023-07-16,27.99,18.99,29.99,71,4,2,41,-15.02
"109","File Folders SKU 47","File Folders",2023-07-17,27.69,18.99,29.99,282,16,14,161,105.66
"110","File Folders SKU 47","File Folders",2023-07-18,27.29,18.99,29.99,246,14,12,136,81.48
"111","File Folders SKU 47","File Folders",2023-07-19,27.99,18.99,29.99,141,8,6,83,26.94
"112","File Folders SKU 47","File Folders",2023-07-20,27.19,18.99,29.99,211,12,10,115,60.9
"113","File Folders SKU 47","File Folders",2023-07-21,27.89,18.99,29.99,159,9,7,92,36.23
"114","File Folders SKU 47","File Folders",2023-07-22,27.99,18.99,29.99,54,3,1,30,-26.01
"115","File Folders SKU 47","File Folders",2023-07-23,27.99,18.99,29.99,54,3,1,30,-26.01
"116","File Folders SKU 47","File Folders",2023-07-24,26.89,18.99,29.99,269,14,13,107,80.57
"117","File Folders SKU 47","File Folders",2023-07-25,26.79,18.99,29.99,329,18,17,153,126.43
"118","File Folders SKU 47","File Folders",2023-07-26,26.19,18.99,29.99,232,12,11,82,56.09
"119","File Folders SKU 47","File Folders",2023-07-27,25.89,18.99,29.99,494,27,26,205,179.14
"120","File Folders SKU 47","File Folders",2023-07-28,25.79,18.99,29.99,313,17,16,125,99.64
"121","File Folders SKU 47","File Folders",2023-07-29,25.99,18.99,29.99,249,13,12,89,62.88
"122","File Folders SKU 47","File Folders",2023-07-30,25.99,18.99,29.99,141,7,6,41,14.94
"123","File Folders SKU 47","File Folders",2023-07-31,25.89,18.99,29.99,419,22,22,151,150.58
"124","File Folders SKU 47","File Folders",2023-08-01,25.79,18.99,29.99,425,23,22,168,142.38
"125","File Folders SKU 47","File Folders",2023-08-02,25.89,18.99,29.99,414,22,21,156,129.69
"126","File Folders SKU 47","File Folders",2023-08-03,25.89,18.99,29.99,482,26,25,191,165.25
"127","File Folders SKU 47","File Folders",2023-08-04,25.89,18.99,29.99,299,16,15,115,89.35
"128","File Folders SKU 47","File Folders",2023-08-05,25.99,18.99,29.99,341,18,17,127,100.83
"129","File Folders SKU 47","File Folders",2023-08-06,25.99,18.99,29.99,372,20,19,148,121.81
"130","File Folders SKU 47","File Folders",2023-08-07,25.59,18.99,29.99,528,29,28,214,188.52
"131","File Folders SKU 47","File Folders",2023-08-08,25.89,18.99,29.99,412,22,21,158,131.69
"132","File Folders SKU 47","File Folders",2023-08-09,25.79,18.99,29.99,479,26,25,192,165.75
"133","File Folders SKU 47","File Folders",2023-08-10,25.89,18.99,29.99,474,26,25,199,173.25
"134","File Folders SKU 47","File Folders",2023-08-11,25.89,18.99,29.99,479,26,25,194,168.25
"135","File Folders SKU 47","File Folders",2023-08-12,25.99,18.99,29.99,297,16,15,119,92.85
"136","File Folders SKU 47","File Folders",2023-08-13,25.89,18.99,29.99,429,23,22,166,140.58
"137","File Folders SKU 47","File Folders",2023-08-14,24.59,18.99,29.99,737,41,39,271,222.01
"138","File Folders SKU 47","File Folders",2023-08-15,25.89,18.99,29.99,377,20,19,141,114.91
"139","File Folders SKU 47","File Folders",2023-08-16,25.79,18.99,29.99,440,23,23,153,153.17
"140","File Folders SKU 47","File Folders",2023-08-17,24.89,18.99,29.99,536,29,28,186,160.92
"141","File Folders SKU 47","File Folders",2023-08-18,25.69,18.99,29.99,445,24,23,172,145.87
"142","File Folders SKU 47","File Folders",2023-08-19,25.99,18.99,29.99,139,6,6,17,16.94
"143","File Folders SKU 47","File Folders",2023-08-20,25.89,18.99,29.99,397,21,20,147,120.8
"144","File Folders SKU 47","File Folders",2023-08-21,25.79,18.99,29.99,499,27,26,197,171.54
"145","File Folders SKU 47","File Folders",2023-08-22,25.79,18.99,29.99,681,36,36,247,247.44
"146","File Folders SKU 47","File Folders",2023-08-23,25.79,18.99,29.99,695,34,37,182,259.23
"147","File Folders SKU 47","File Folders",2023-08-24,25.89,18.99,29.99,544,26,28,129,180.92
"148","File Folders SKU 47","File Folders",2023-08-25,25.89,18.99,29.99,658,32,35,170,248.15
"149","File Folders SKU 47","File Folders",2023-08-26,25.89,18.99,29.99,447,20,23,71,148.47
"150","File Folders SKU 47","File Folders",2023-08-27,25.99,18.99,29.99,297,12,15,15,92.85
"151","File Folders SKU 47","File Folders",2023-08-28,25.89,18.99,29.99,625,30,33,152,229.37
"152","File Folders SKU 47","File Folders",2023-08-29,25.89,18.99,29.99,781,39,41,229,280.49
"153","File Folders SKU 47","File Folders",2023-08-30,25.79,18.99,29.99,705,35,37,198,249.23
"154","File Folders SKU 47","File Folders",2023-08-31,25.49,18.99,29.99,635,31,33,155,206.17
"155","File Folders SKU 47","File Folders",2023-09-01,25.79,18.99,29.99,508,26,26,163,162.54
"156","File Folders SKU 47","File Folders",2023-09-02,25.89,18.99,29.99,310,15,15,78,78.35
"157","File Folders SKU 47","File Folders",2023-09-03,25.89,18.99,29.99,229,10,11,30,55.79
"158","File Folders SKU 47","File Folders",2023-09-04,25.79,18.99,29.99,256,12,13,53,79.27
"159","File Folders SKU 47","File Folders",2023-09-05,24.99,18.99,29.99,671,35,35,204,203.65
"160","File Folders SKU 47","File Folders",2023-09-06,25.69,18.99,29.99,791,42,42,288,287.98
"161","File Folders SKU 47","File Folders",2023-09-07,25.79,18.99,29.99,660,35,35,243,242.65
"162","File Folders SKU 47","File Folders",2023-09-08,24.89,18.99,29.99,524,27,27,148,148.03
"163","File Folders SKU 47","File Folders",2023-09-09,25.99,18.99,29.99,381,19,19,113,112.81
