"","sku","prod_cat","salesdate","price","pred_price","min_price","max_price","cost","volume","profit","est_profit","mape"
"1","File Folders SKU 47","File Folders",2023-04-01,27.89,20.8444600177354,18.99,29.99,159,9,92,28.6001401596185,0.00438935612298404
"2","File Folders SKU 47","File Folders",2023-04-02,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"3","File Folders SKU 47","File Folders",2023-04-03,27.89,23.2539900897092,18.99,29.99,353,20,205,112.079801794185,0.00288706534739211
"4","File Folders SKU 47","File Folders",2023-04-04,27.59,24.1301828431543,18.99,29.99,422,24,240,157.124388235703,0.00219945891094207
"5","File Folders SKU 47","File Folders",2023-04-05,27.89,21.7206527711804,18.99,29.99,229,13,134,53.3684860253455,0.00383266061292207
"6","File Folders SKU 47","File Folders",2023-04-06,27.89,21.7206527711804,18.99,29.99,229,13,134,53.3684860253455,0.00383266061292207
"7","File Folders SKU 47","File Folders",2023-04-07,27.49,21.2825563944579,18.99,29.99,193,11,109,41.108120339037,0.00396726930760025
"8","File Folders SKU 47","File Folders",2023-04-08,27.99,19.7492190759291,18.99,29.99,71,4,41,7.99687630371635,0.00512709704773709
"9","File Folders SKU 47","File Folders",2023-04-09,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"10","File Folders SKU 47","File Folders",2023-04-10,27.89,22.5968455246255,18.99,29.99,299,17,175,85.1463739186329,0.00327037765537278
"11","File Folders SKU 47","File Folders",2023-04-11,27.89,22.1587491479029,18.99,29.99,265,15,153,67.3812372185442,0.00356432966077415
"12","File Folders SKU 47","File Folders",2023-04-12,27.89,22.8158937129867,18.99,29.99,317,18,185,93.6860868337611,0.00314387719628986
"13","File Folders SKU 47","File Folders",2023-04-13,27.99,21.5016045828192,18.99,29.99,212,12,124,46.01925499383,0.00400558583347904
"14","File Folders SKU 47","File Folders",2023-04-14,27.69,22.5968455246255,18.99,29.99,299,17,172,85.1463739186329,0.00321632447346197
"15","File Folders SKU 47","File Folders",2023-04-15,27.89,21.0635082060966,18.99,29.99,177,10,102,33.6350820609664,0.00426907193324801
"16","File Folders SKU 47","File Folders",2023-04-16,27.99,20.4063636410129,18.99,29.99,123,7,73,19.84454548709,0.00463794210914492
"17","File Folders SKU 47","File Folders",2023-04-17,27.89,22.1587491479029,18.99,29.99,265,15,153,67.3812372185442,0.00356432966077415
"18","File Folders SKU 47","File Folders",2023-04-18,27.69,21.5016045828192,18.99,29.99,212,12,120,46.01925499383,0.0039267911362086
"19","File Folders SKU 47","File Folders",2023-04-19,27.79,22.3777973362642,18.99,29.99,283,16,162,75.0447573802273,0.00341885832428138
"20","File Folders SKU 47","File Folders",2023-04-20,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"21","File Folders SKU 47","File Folders",2023-04-21,27.99,20.1873154526516,18.99,29.99,105,6,63,16.1238927159096,0.00473926875786982
"22","File Folders SKU 47","File Folders",2023-04-22,26.79,19.9682672642903,18.99,29.99,88,5,46,11.8413363214517,0.0047298066572346
"23","File Folders SKU 47","File Folders",2023-04-23,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"24","File Folders SKU 47","File Folders",2023-04-24,27.79,21.0635082060966,18.99,29.99,177,10,101,33.6350820609664,0.00424827634098717
"25","File Folders SKU 47","File Folders",2023-04-25,27.99,22.1587491479029,18.99,29.99,265,15,155,67.3812372185442,0.003600524461946
"26","File Folders SKU 47","File Folders",2023-04-26,27.89,21.2825563944579,18.99,29.99,194,11,113,40.108120339037,0.00410866803793264
"27","File Folders SKU 47","File Folders",2023-04-27,27.99,21.7206527711804,18.99,29.99,230,13,134,52.3684860253455,0.00388019364838171
"28","File Folders SKU 47","File Folders",2023-04-28,25.29,21.7206527711804,18.99,29.99,224,13,105,58.3684860253455,0.00282872392930873
"29","File Folders SKU 47","File Folders",2023-04-29,23.89,20.4063636410129,18.99,29.99,119,7,48,23.84454548709,0.00320534162857085
"30","File Folders SKU 47","File Folders",2023-04-30,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"31","File Folders SKU 47","File Folders",2023-05-01,27.89,20.8444600177354,18.99,29.99,159,9,92,28.6001401596185,0.00438935612298404
"32","File Folders SKU 47","File Folders",2023-05-02,27.89,21.0635082060966,18.99,29.99,177,10,102,33.6350820609664,0.00426907193324801
"33","File Folders SKU 47","File Folders",2023-05-03,27.89,22.1587491479029,18.99,29.99,265,15,153,67.3812372185442,0.00356432966077415
"34","File Folders SKU 47","File Folders",2023-05-04,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"35","File Folders SKU 47","File Folders",2023-05-05,27.19,21.2825563944579,18.99,29.99,193,11,106,41.108120339037,0.00389928371956274
"36","File Folders SKU 47","File Folders",2023-05-06,27.99,19.3111226992066,18.99,29.99,35,2,21,3.62224539841313,0.0052707778591407
"37","File Folders SKU 47","File Folders",2023-05-07,27.99,20.8444600177354,18.99,29.99,159,9,93,28.6001401596185,0.00441064720501209
"38","File Folders SKU 47","File Folders",2023-05-08,27.69,21.5016045828192,18.99,29.99,212,12,120,46.01925499383,0.0039267911362086
"39","File Folders SKU 47","File Folders",2023-05-09,27.19,20.8444600177354,18.99,29.99,158,9,87,29.6001401596185,0.00420234715867791
"40","File Folders SKU 47","File Folders",2023-05-10,27.89,21.7206527711804,18.99,29.99,229,13,134,53.3684860253455,0.00383266061292207
"41","File Folders SKU 47","File Folders",2023-05-11,27.99,19.7492190759291,18.99,29.99,71,4,41,7.99687630371635,0.00512709704773709
"42","File Folders SKU 47","File Folders",2023-05-12,27.89,20.6254118293741,18.99,29.99,140,8,83,25.003294634993,0.00445067188742284
"43","File Folders SKU 47","File Folders",2023-05-13,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"44","File Folders SKU 47","File Folders",2023-05-14,27.99,19.7492190759291,18.99,29.99,71,4,41,7.99687630371635,0.00512709704773709
"45","File Folders SKU 47","File Folders",2023-05-15,27.99,20.4063636410129,18.99,29.99,123,7,73,19.84454548709,0.00463794210914492
"46","File Folders SKU 47","File Folders",2023-05-16,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"47","File Folders SKU 47","File Folders",2023-05-17,27.89,21.9397009595417,18.99,29.99,247,14,143,60.1558134335836,0.00368999984706322
"48","File Folders SKU 47","File Folders",2023-05-18,27.29,20.6254118293741,18.99,29.99,140,8,78,25.003294634993,0.00432767478074531
"49","File Folders SKU 47","File Folders",2023-05-19,27.99,20.1873154526516,18.99,29.99,105,6,63,16.1238927159096,0.00473926875786982
"50","File Folders SKU 47","File Folders",2023-05-20,27.99,19.3111226992066,18.99,29.99,35,2,21,3.62224539841313,0.0052707778591407
"51","File Folders SKU 47","File Folders",2023-05-21,27.89,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"52","File Folders SKU 47","File Folders",2023-05-22,27.89,20.8444600177354,18.99,29.99,159,9,92,28.6001401596185,0.00438935612298404
"53","File Folders SKU 47","File Folders",2023-05-23,27.79,21.7206527711804,18.99,29.99,229,13,132,53.3684860253455,0.00379422476233615
"54","File Folders SKU 47","File Folders",2023-05-24,27.69,21.0635082060966,18.99,29.99,177,10,100,33.6350820609664,0.00422706483688112
"55","File Folders SKU 47","File Folders",2023-05-25,27.69,21.5016045828192,18.99,29.99,212,12,120,46.01925499383,0.0039267911362086
"56","File Folders SKU 47","File Folders",2023-05-26,27.89,20.8444600177354,18.99,29.99,159,9,92,28.6001401596185,0.00438935612298404
"57","File Folders SKU 47","File Folders",2023-05-27,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"58","File Folders SKU 47","File Folders",2023-05-28,27.99,19.3111226992066,18.99,29.99,35,2,21,3.62224539841313,0.0052707778591407
"59","File Folders SKU 47","File Folders",2023-05-29,27.99,19.3111226992066,18.99,29.99,35,2,21,3.62224539841313,0.0052707778591407
"60","File Folders SKU 47","File Folders",2023-05-30,27.89,22.8158937129867,18.99,29.99,317,18,185,93.6860868337611,0.00314387719628986
"61","File Folders SKU 47","File Folders",2023-05-31,27.59,20.6254118293741,18.99,29.99,140,8,81,25.003294634993,0.00440329522411001
"62","File Folders SKU 47","File Folders",2023-06-01,27.39,22.3777973362642,18.99,29.99,282,16,156,76.0447573802273,0.00326454526456691
"63","File Folders SKU 47","File Folders",2023-06-02,27.89,20.6254118293741,18.99,29.99,140,8,83,25.003294634993,0.00445067188742284
"64","File Folders SKU 47","File Folders",2023-06-03,27.99,19.9682672642903,18.99,29.99,89,5,51,10.8413363214517,0.00501544444592835
"65","File Folders SKU 47","File Folders",2023-06-04,27.99,19.3111226992066,18.99,29.99,35,2,21,3.62224539841313,0.0052707778591407
"66","File Folders SKU 47","File Folders",2023-06-05,27.69,19.7492190759291,18.99,29.99,71,4,40,7.99687630371635,0.00509603880514071
"67","File Folders SKU 47","File Folders",2023-06-06,27.89,20.1873154526516,18.99,29.99,105,6,62,16.1238927159096,0.00471297588700333
"68","File Folders SKU 47","File Folders",2023-06-07,27.89,21.9397009595417,18.99,29.99,247,14,143,60.1558134335836,0.00368999984706322
"69","File Folders SKU 47","File Folders",2023-06-08,27.89,21.2825563944579,18.99,29.99,194,11,113,40.108120339037,0.00410866803793264
"70","File Folders SKU 47","File Folders",2023-06-09,22.09,19.0920745108453,18.99,29.99,17,1,5,2.0920745108453,0.00370436368045184
"71","File Folders SKU 47","File Folders",2023-06-10,27.99,19.3111226992066,18.99,29.99,35,2,21,3.62224539841313,0.0052707778591407
"72","File Folders SKU 47","File Folders",2023-06-11,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"73","File Folders SKU 47","File Folders",2023-06-12,27.79,19.7492190759291,18.99,29.99,71,4,40,7.99687630371635,0.00509603880514071
"74","File Folders SKU 47","File Folders",2023-06-13,27.89,20.1873154526516,18.99,29.99,105,6,62,16.1238927159096,0.00471297588700333
"75","File Folders SKU 47","File Folders",2023-06-14,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"76","File Folders SKU 47","File Folders",2023-06-15,27.69,19.3111226992066,18.99,29.99,35,2,20,3.62224539841313,0.00521584541451811
"77","File Folders SKU 47","File Folders",2023-06-16,22.09,19.3111226992066,18.99,29.99,34,2,10,4.62224539841313,0.00342532140228463
"78","File Folders SKU 47","File Folders",2023-06-17,22.09,19.0920745108453,18.99,29.99,17,1,5,2.0920745108453,0.00370436368045184
"79","File Folders SKU 47","File Folders",2023-06-18,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"80","File Folders SKU 47","File Folders",2023-06-19,23.39,19.3111226992066,18.99,29.99,34,2,13,4.62224539841313,0.00410473032904795
"81","File Folders SKU 47","File Folders",2023-06-20,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"82","File Folders SKU 47","File Folders",2023-06-21,23.49,19.7492190759291,18.99,29.99,68,4,26,10.9968763037163,0.00367543451648301
"83","File Folders SKU 47","File Folders",2023-06-22,25.19,19.0920745108453,18.99,29.99,18,1,7,1.0920745108453,0.00537572837957661
"84","File Folders SKU 47","File Folders",2023-06-23,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"85","File Folders SKU 47","File Folders",2023-06-24,25.19,19.0920745108453,18.99,29.99,18,1,7,1.0920745108453,0.00537572837957661
"86","File Folders SKU 47","File Folders",2023-06-25,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"87","File Folders SKU 47","File Folders",2023-06-26,25.19,19.0920745108453,18.99,29.99,18,1,7,1.0920745108453,0.00537572837957661
"88","File Folders SKU 47","File Folders",2023-06-27,25.19,19.0920745108453,18.99,29.99,18,1,7,1.0920745108453,0.00537572837957661
"89","File Folders SKU 47","File Folders",2023-06-28,27.99,19.0920745108453,18.99,29.99,18,1,10,1.0920745108453,0.00567383789118133
"90","File Folders SKU 47","File Folders",2023-06-29,23.79,19.0920745108453,18.99,29.99,18,1,6,1.0920745108453,0.00521011198424065
"91","File Folders SKU 47","File Folders",2023-06-30,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"92","File Folders SKU 47","File Folders",2023-07-01,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"93","File Folders SKU 47","File Folders",2023-07-02,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"94","File Folders SKU 47","File Folders",2023-07-03,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"95","File Folders SKU 47","File Folders",2023-07-04,0,18.873026322484,18.99,29.99,0,0,0,0,NA
"96","File Folders SKU 47","File Folders",2023-07-05,27.69,19.3111226992066,18.99,29.99,35,2,20,3.62224539841313,0.00521584541451811
"97","File Folders SKU 47","File Folders",2023-07-06,27.79,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"98","File Folders SKU 47","File Folders",2023-07-07,27.59,20.1873154526516,18.99,29.99,105,6,61,16.1238927159096,0.00468582095479695
"99","File Folders SKU 47","File Folders",2023-07-08,27.39,19.0920745108453,18.99,29.99,18,1,9,1.0920745108453,0.00559655024002455
"100","File Folders SKU 47","File Folders",2023-07-08,27.39,19.0920745108453,18.99,29.99,18,1,9,1.0920745108453,0.00559655024002455
"101","File Folders SKU 47","File Folders",2023-07-09,27.99,19.0920745108453,18.99,29.99,18,1,10,1.0920745108453,0.00567383789118133
"102","File Folders SKU 47","File Folders",2023-07-10,27.09,20.1873154526516,18.99,29.99,104,6,59,17.1238927159096,0.00452079318623452
"103","File Folders SKU 47","File Folders",2023-07-11,27.79,20.4063636410129,18.99,29.99,123,7,72,19.84454548709,0.00461389371133315
"104","File Folders SKU 47","File Folders",2023-07-12,27.59,21.5016045828192,18.99,29.99,212,12,119,46.01925499383,0.00390626478649949
"105","File Folders SKU 47","File Folders",2023-07-13,27.69,21.0635082060966,18.99,29.99,177,10,100,33.6350820609664,0.00422706483688112
"106","File Folders SKU 47","File Folders",2023-07-14,27.39,19.5301708875678,18.99,29.99,53,3,29,5.59051266270348,0.005141552237491
"107","File Folders SKU 47","File Folders",2023-07-15,27.79,19.7492190759291,18.99,29.99,71,4,40,7.99687630371635,0.00509603880514071
"108","File Folders SKU 47","File Folders",2023-07-16,27.99,19.7492190759291,18.99,29.99,71,4,41,7.99687630371635,0.00512709704773709
"109","File Folders SKU 47","File Folders",2023-07-17,27.69,22.3777973362642,18.99,29.99,282,16,161,76.0447573802273,0.00336097015546832
"110","File Folders SKU 47","File Folders",2023-07-18,27.29,21.9397009595417,18.99,29.99,246,14,136,61.1558134335836,0.00350525414792134
"111","File Folders SKU 47","File Folders",2023-07-19,27.99,20.6254118293741,18.99,29.99,141,8,83,24.003294634993,0.00452741196876733
"112","File Folders SKU 47","File Folders",2023-07-20,27.19,21.5016045828192,18.99,29.99,211,12,115,47.01925499383,0.00376520326813459
"113","File Folders SKU 47","File Folders",2023-07-21,27.89,20.8444600177354,18.99,29.99,159,9,92,28.6001401596185,0.00438935612298404
"114","File Folders SKU 47","File Folders",2023-07-22,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"115","File Folders SKU 47","File Folders",2023-07-23,27.99,19.5301708875678,18.99,29.99,54,3,30,4.59051266270348,0.00539479561301412
"116","File Folders SKU 47","File Folders",2023-07-24,26.89,21.9397009595417,18.99,29.99,269,14,107,38.1558134335836,0.00409811218324998
"117","File Folders SKU 47","File Folders",2023-07-25,26.79,22.8158937129867,18.99,29.99,329,18,153,81.6860868337611,0.00296881533517501
"118","File Folders SKU 47","File Folders",2023-07-26,26.19,21.5016045828192,18.99,29.99,232,12,82,26.01925499383,0.00434835676605329
"119","File Folders SKU 47","File Folders",2023-07-27,25.89,24.7873274082381,18.99,29.99,494,27,205,175.257840022428,0.000924100045908725
"120","File Folders SKU 47","File Folders",2023-07-28,25.79,22.5968455246255,18.99,29.99,313,17,125,71.1463739186329,0.00274413381306329
"121","File Folders SKU 47","File Folders",2023-07-29,25.99,21.7206527711804,18.99,29.99,249,13,89,33.3684860253455,0.00398135790271627
"122","File Folders SKU 47","File Folders",2023-07-30,25.99,20.4063636410129,18.99,29.99,141,7,41,1.84454548709004,0.00608287315720211
"123","File Folders SKU 47","File Folders",2023-07-31,25.89,23.6920864664318,18.99,29.99,419,22,151,102.225902261499,0.00205737114516814
"124","File Folders SKU 47","File Folders",2023-08-01,25.79,23.911134654793,18.99,29.99,425,23,168,124.95609706024,0.00163193444569914
"125","File Folders SKU 47","File Folders",2023-08-02,25.89,23.6920864664318,18.99,29.99,414,22,156,107.225902261499,0.00199142976231019
"126","File Folders SKU 47","File Folders",2023-08-03,25.89,24.5682792198768,18.99,29.99,482,26,191,156.775259716797,0.00114131924778081
"127","File Folders SKU 47","File Folders",2023-08-04,25.89,22.3777973362642,18.99,29.99,299,16,115,59.0447573802273,0.00309915494986279
"128","File Folders SKU 47","File Folders",2023-08-05,25.99,22.8158937129867,18.99,29.99,341,18,127,69.6860868337611,0.00287446276975971
"129","File Folders SKU 47","File Folders",2023-08-06,25.99,23.2539900897092,18.99,29.99,372,20,148,93.0798017941849,0.00236358229496536
"130","File Folders SKU 47","File Folders",2023-08-07,25.59,25.2254237849606,18.99,29.99,528,29,214,203.537289763857,0.000311408721832938
"131","File Folders SKU 47","File Folders",2023-08-08,25.89,23.6920864664318,18.99,29.99,412,22,158,109.225902261499,0.00196622179063538
"132","File Folders SKU 47","File Folders",2023-08-09,25.79,24.5682792198768,18.99,29.99,479,26,192,159.775259716797,0.00106902668136953
"133","File Folders SKU 47","File Folders",2023-08-10,25.89,24.5682792198768,18.99,29.99,474,26,199,164.775259716797,0.0010954370669655
"134","File Folders SKU 47","File Folders",2023-08-11,25.89,24.5682792198768,18.99,29.99,479,26,194,159.775259716797,0.00112366998106255
"135","File Folders SKU 47","File Folders",2023-08-12,25.99,22.3777973362642,18.99,29.99,297,16,119,61.0447573802273,0.00310203086333955
"136","File Folders SKU 47","File Folders",2023-08-13,25.89,23.911134654793,18.99,29.99,429,23,166,120.95609706024,0.00172833638783518
"137","File Folders SKU 47","File Folders",2023-08-14,24.59,27.8540020452957,18.99,29.99,737,41,271,405.014083857124,0.00314978926498047
"138","File Folders SKU 47","File Folders",2023-08-15,25.89,23.2539900897092,18.99,29.99,377,20,141,88.0798017941849,0.00239057678121765
"139","File Folders SKU 47","File Folders",2023-08-16,25.79,23.911134654793,18.99,29.99,440,23,153,109.95609706024,0.00179192801880689
"140","File Folders SKU 47","File Folders",2023-08-17,24.89,25.2254237849606,18.99,29.99,536,29,186,195.537289763857,0.00032659714279354
"141","File Folders SKU 47","File Folders",2023-08-18,25.69,24.1301828431543,18.99,29.99,445,24,172,134.124388235703,0.00140259264421186
"142","File Folders SKU 47","File Folders",2023-08-19,25.99,20.1873154526516,18.99,29.99,139,6,17,-17.8761072840904,0.0130671065133347
"143","File Folders SKU 47","File Folders",2023-08-20,25.89,23.4730382780705,18.99,29.99,397,21,147,95.9338038394806,0.00221266936004677
"144","File Folders SKU 47","File Folders",2023-08-21,25.79,24.7873274082381,18.99,29.99,499,27,197,170.257840022428,0.000864630604855389
"145","File Folders SKU 47","File Folders",2023-08-22,25.79,26.7587611034894,18.99,29.99,681,36,247,282.315399725619,0.000910683610346285
"146","File Folders SKU 47","File Folders",2023-08-23,25.79,26.3206647267669,18.99,29.99,695,34,182,199.902600710074,0.000626534636735288
"147","File Folders SKU 47","File Folders",2023-08-24,25.89,24.5682792198768,18.99,29.99,544,26,129,94.7752597167968,0.00168986028159795
"148","File Folders SKU 47","File Folders",2023-08-25,25.89,25.8825683500444,18.99,29.99,658,32,170,170.24218720142,9.07408023303524e-06
"149","File Folders SKU 47","File Folders",2023-08-26,25.89,23.2539900897092,18.99,29.99,447,20,71,18.0798017941849,0.00474748346692519
"150","File Folders SKU 47","File Folders",2023-08-27,25.99,21.5016045828192,18.99,29.99,297,12,15,-38.98074500617,0.0229217600875457
"151","File Folders SKU 47","File Folders",2023-08-28,25.89,25.4444719733218,18.99,29.99,625,30,152,138.334159199655,0.000572655078794194
"152","File Folders SKU 47","File Folders",2023-08-29,25.89,27.4159056685732,18.99,29.99,781,39,229,288.220321074354,0.00164715937680734
"153","File Folders SKU 47","File Folders",2023-08-30,25.79,26.5397129151281,18.99,29.99,705,35,198,223.889952029485,0.000832849257848714
"154","File Folders SKU 47","File Folders",2023-08-31,25.49,25.6635201616831,18.99,29.99,635,31,155,160.569125012176,0.000228852476358175
"155","File Folders SKU 47","File Folders",2023-09-01,25.79,24.5682792198768,18.99,29.99,508,26,163,130.775259716797,0.00125922161241074
"156","File Folders SKU 47","File Folders",2023-09-02,25.89,22.1587491479029,18.99,29.99,310,15,78,22.3812372185442,0.00454179019936761
"157","File Folders SKU 47","File Folders",2023-09-03,25.89,21.0635082060966,18.99,29.99,229,10,30,-18.3649179390336,0.0102685600719817
